id,rations,oil,coal,uranium,bauxite,iron,lead,copper,lumber,components,steel,consumer_goods,aluminium,gasoline,ammunition
474,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
523,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
513,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
512,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
533,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
532,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
543,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
553,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
611,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
596,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
2,1000800,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000400,1000000,1000250,1000000,1000200,1000000,1000000
3,1000800,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000400,1000000,1000250,1000000,1000200,1000000,1000000
72,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
4,1000800,1000000,1000000,1000000,1000000,1000000,1000000,1000000,1000400,1000000,1000250,1000000,1000200,1000000,1000000
73,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
80,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
81,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
204,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
203,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
302,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
322,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
299,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
312,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
298,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
332,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
352,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
372,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
362,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
382,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
392,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
412,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
403,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
422,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
402,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
462,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
445,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
522,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
433,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
444,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
432,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
535,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
534,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
493,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
492,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
542,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
552,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
572,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
563,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
597,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
626,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
615,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
627,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
573,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
617,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
755,10,0,0,0,0,0,0,0,400,0,250,0,200,0,0
649,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
629,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
628,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
667,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
301,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
305,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
304,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
315,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
263,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
314,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
82,800,0,0,0,0,0,0,0,400,0,250,0,200,0,0
277,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
276,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
265,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
83,1000,0,0,0,0,0,0,0,400,0,250,0,200,0,0
262,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
335,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
334,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
355,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
99,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
98,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
354,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
365,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
364,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
375,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
374,100,0,0,0,0,0,0,0,400,0,250,0,200,0,0
385,900,0,0,0,0,0,0,0,400,0,250,0,200,0,0
